cod_dep,departamento,cod_mun,municipio,cultivo,desagregacion,ciclo_cultivo,anio,periodo,semestre,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha
18,CAQUETA,18860,VALPARAISO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2014,2014A,A,150,0,0,
44,LA GUAJIRA,44874,VILLANUEVA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2014,2014A,A,547,0,0,
08,ATLANTICO,08558,POLONUEVO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2014,2014B,B,4,0,0,
18,CAQUETA,18860,VALPARAISO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2014,2014B,B,145,0,0,
63,QUINDIO,63594,QUIMBAYA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2014,2014B,B,13,0,0,
08,ATLANTICO,08832,TUBARA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,380,0,0,
08,ATLANTICO,08433,MALAMBO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,180,0,0,
08,ATLANTICO,08549,PIOJO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,39,0,0,
08,ATLANTICO,08758,SOLEDAD,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,17,0,0,
13,BOLIVAR,13836,TURBACO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,300,0,0,
13,BOLIVAR,13683,SANTA ROSA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,160,0,0,
13,BOLIVAR,13001,CARTAGENA DE INDIAS,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,5,0,0,
44,LA GUAJIRA,44378,HATO NUEVO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,109,0,0,
52,NARIÑO,52240,CHACHAGUI,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,40,0,0,
