cod_mun,municipio,cod_dep,departamento,lat,lon
23670,SAN ANDRÉS DE SOTAVENTO,23,CÓRDOBA,9.12741,-75.51546
23672,SAN ANTERO,23,CÓRDOBA,9.35661,-75.78449
23675,SAN BERNARDO DEL VIENTO,23,CÓRDOBA,9.32772,-75.97257
23678,SAN CARLOS,23,CÓRDOBA,8.70768,-75.69059
23682,SAN JOSÉ DE URÉ,23,CÓRDOBA,7.76046,-75.56493
23686,SAN PELAYO,23,CÓRDOBA,8.98772,-75.90578
23815,TUCHÍN,23,CÓRDOBA,9.2358,-75.54278
23855,VALENCIA,23,CÓRDOBA,8.21694,-76.22296
23466,MONTELÍBANO,23,CÓRDOBA,7.8825,-75.76364
23580,PUERTO LIBERTADOR,23,CÓRDOBA,7.71147,-75.76956
23807,TIERRALTA,23,CÓRDOBA,7.81251,-76.16679
08001,BARRANQUILLA,08,ATLÁNTICO,10.98503,-74.83191
08078,BARANOA,08,ATLÁNTICO,10.79523,-74.92138
08137,CAMPO DE LA CRUZ,08,ATLÁNTICO,10.39658,-74.88164
08141,CANDELARIA,08,ATLÁNTICO,10.48768,-74.87737
08296,GALAPA,08,ATLÁNTICO,10.89501,-74.88953
08372,JUAN DE ACOSTA,08,ATLÁNTICO,10.82332,-75.07885
08421,LURUACO,08,ATLÁNTICO,10.63427,-75.15518
08433,MALAMBO,08,ATLÁNTICO,10.84794,-74.80952
08436,MANATÍ,08,ATLÁNTICO,10.45032,-74.98817
08520,PALMAR DE VARELA,08,ATLÁNTICO,10.69651,-74.76856
08549,PIOJÓ,08,ATLÁNTICO,10.74429,-75.14265
08558,POLONUEVO,08,ATLÁNTICO,10.77092,-74.84802
08560,PONEDERA,08,ATLÁNTICO,10.59622,-74.79946
08573,PUERTO COLOMBIA,08,ATLÁNTICO,10.99921,-74.91875
08606,REPELÓN,08,ATLÁNTICO,10.50457,-75.12558
08634,SABANAGRANDE,08,ATLÁNTICO,10.79893,-74.76736
08638,SABANALARGA,08,ATLÁNTICO,10.6226,-74.95631
08675,SANTA LUCÍA,08,ATLÁNTICO,10.34394,-74.96486
08685,SANTO TOMÁS,08,ATLÁNTICO,10.74059,-74.79189
08758,SOLEDAD,08,ATLÁNTICO,10.90479,-74.78359
08770,SUAN,08,ATLÁNTICO,10.30509,-74.90643
08832,TUBARÁ,08,ATLÁNTICO,10.90051,-74.98972
08849,USIACURÍ,08,ATLÁNTICO,10.74292,-74.9887
13001,CARTAGENA DE INDIAS,13,BOLÍVAR,10.4751,-75.45024
13006,ACHÍ,13,BOLÍVAR,8.62158,-74.47862
13030,ALTOS DEL ROSARIO,13,BOLÍVAR,8.75008,-74.19393
13042,ARENAL,13,BOLÍVAR,8.34656,-74.10723
13052,ARJONA,13,BOLÍVAR,10.16436,-75.37458
13062,ARROYOHONDO,13,BOLÍVAR,10.24987,-75.01636
13074,BARRANCO DE LOBA,13,BOLÍVAR,8.84477,-74.15432
13140,CALAMAR,13,BOLÍVAR,10.21703,-74.9998
13160,CANTAGALLO,13,BOLÍVAR,7.24215,-74.09659
13188,CICUCO,13,BOLÍVAR,9.24098,-74.68317
13212,CÓRDOBA,13,BOLÍVAR,9.53975,-74.89638
13222,CLEMENCIA,13,BOLÍVAR,10.55319,-75.31995
13244,EL CARMEN DE BOLÍVAR,13,BOLÍVAR,9.70037,-75.15978
13248,EL GUAMO,13,BOLÍVAR,10.03747,-74.93174
13268,EL PEÑÓN,13,BOLÍVAR,8.85736,-73.90935
13433,MAHATES,13,BOLÍVAR,10.17652,-75.17656
13440,MARGARITA,13,BOLÍVAR,9.06256,-74.22682
13442,MARÍA LA BAJA,13,BOLÍVAR,9.97514,-75.34408
13458,MONTECRISTO,13,BOLÍVAR,8.02404,-74.46181
13468,MOMPÓS,13,BOLÍVAR,9.14751,-74.55037
13473,MORALES,13,BOLÍVAR,8.25054,-73.96799
13490,NOROSÍ,13,BOLÍVAR,8.50481,-74.11641
13549,PINILLOS,13,BOLÍVAR,8.87601,-74.38349
